time (seconds),encoderLeft (meters),encoderRight (meters)
6.301,-0.00006951398245291784,-0.00007785145862726495
6.4,-0.00007071036816341802,-0.0000791805941844359
6.503,-0.00007185967115219682,-0.00008046012953855097
6.602,-0.00007303326128749177,-0.00008176438859663904
6.703,-0.00007418779568979517,-0.00008304919902002439
6.802,-0.00007537388592027128,-0.00008436546340817586
6.907,-0.00007653378270333633,-0.00008566077303839847
7.001,-0.00007771215314278379,-0.00008696789882378653
7.1,-0.0000788494580774568,-0.00008824026735965163
7.202,-0.00008002873073564842,-0.00008955045632319525
7.302,-0.00008118050027405843,-0.00009083343320526183
7.4030000000000005,-0.00008236820576712489,-0.00009214979218086228
7.502,-0.00008350041025551036,-0.00009341344411950558
7.603,-0.00008468069427181035,-0.0000947252701735124
7.702,-0.00008581149450037628,-0.00009598700853530318
7.802,-0.0000869448485900648,-0.0000972516427282244
7.901,-0.00008813090244075283,-0.00009856680117081851
8.002,-0.00008932123455451801,-0.00009989002137444913
8.102,-0.00009049066284205765,-0.00010119337093783543
8.202,-0.00009166848758468404,-0.00010250099148834124
8.299,-0.00009280943049816415,-0.00010377357102697715
8.402,-0.00009397945541422814,-0.00010507133265491575
8.502,-0.00009515513374935836,-0.00010637960804160684
8.602,-0.00009629703708924353,-0.00010765274055302143
8.701,-0.00009742110705701634,-0.0001089078577933833
8.801,-0.00009860818681772798,-0.00011022718535969034
8.901,-0.00009977634908864275,-0.00011152654769830406
9.002,-0.00010093598393723369,-0.00011281768092885613
9.101,-0.00010210990876657888,-0.00011412357707740739
9.201,-0.00010327125346520916,-0.00011541601998033002
9.302,-0.00010441065387567505,-0.00011668984370771796
9.391,-0.00010561985254753381,-0.00011802982771769166
9.502,-0.0001067894118023105,-0.00011932800407521427
9.603,-0.00010793121327878907,-0.00012060442531947047
9.702,-0.00010912640573224053,-0.000121929137094412
9.801,-0.0001102890819311142,-0.00012322544353082776
9.903,-0.00011143062147311866,-0.00012449908535927534
10.002,-0.00011259326129220426,-0.00012579374015331268
10.102,-0.00011377628106856719,-0.00012710542068816721
10.201,-0.0001148922456195578,-0.00012835193774662912
10.303,-0.00011608793283812702,-0.0001296792324865237
10.401,-0.00011719388567144051,-0.00013091627624817193
10.502,-0.00011839506623800844,-0.00013224838767200708
10.597,-0.00011955708032473922,-0.00013354072871152312
10.701,-0.00012072946265107021,-0.00013484399823937565
10.8,-0.00012182614591438323,-0.0001360723254038021
10.906,-0.00012302820687182248,-0.0001374052808387205
11,-0.00012413151853252202,-0.00013863816275261343
11.102,-0.00012413151853252202,-0.0001386381482006982
11.202,-0.00012413151853252202,-0.0001386381482006982
11.302,-0.00012413151853252202,-0.0001386381482006982
11.401,-0.00012413151853252202,-0.0001386381482006982
11.501,-0.00012365292059257627,-0.00013846205547451973
11.599,-0.00012456742115318775,-0.00013952419976703823
11.698,-0.00012581166811287403,-0.00014089129399508238
11.802,-0.00012705096742138267,-0.0001422540663043037
11.901,-0.00012828235048800707,-0.00014360935892909765
12.002,-0.00012952080578543246,-0.00014497172378469259
12.102,-0.00013075632159598172,-0.00014633047976531088
12.202,-0.00013199330714996904,-0.00014768855180591345
12.301,-0.00013323083112481982,-0.00014904899580869824
12.402,-0.00013446935918182135,-0.00015041025471873581
12.502,-0.00013571151066571474,-0.00015177365276031196
12.602,-0.00013694744848180562,-0.00015312906180042773
12.702,-0.00013819104060530663,-0.00015449388592969626
12.803,-0.00013942773512098938,-0.0001558521471451968
12.899000000000001,-0.00014056164945941418,-0.00015711726155132055
13.002,-0.00011847657151520252,-0.00018167262896895409
13.102,0.002227949909865856,-0.0025314658414572477
13.2,0.004575959872454405,-0.004882996901869774
13.307,0.00692399637773633,-0.007234460674226284
13.403,0.009272015653550625,-0.009585955180227757
13.501,0.01162002980709076,-0.011937410570681095
13.604,0.013968046754598618,-0.014288912527263165
13.701,0.016316069290041924,-0.016640428453683853
13.801,0.01866411790251732,-0.018991881981492043
13.902,0.021012140437960625,-0.02134336158633232
14.002,0.0233601201325655,-0.02369489148259163
14.101,0.02570822834968567,-0.02604634128510952
14.204,0.028056252747774124,-0.028397826477885246
14.301,0.03040425293147564,-0.030749302357435226
14.4,0.03275228664278984,-0.03310078755021095
14.498,0.03510033339262009,-0.035452261567115784
14.600999999999999,0.03744833916425705,-0.037803757935762405
14.704,0.039796385914087296,-0.04015519097447395
14.804,0.042144399136304855,-0.04250669851899147
14.902,0.044492434710264206,-0.04485819488763809
15.001,0.04684043675661087,-0.04720966890454292
15.102,0.04918847233057022,-0.04956116899847984
15.2,0.05153651162981987,-0.05191260948777199
15.304,0.05388450250029564,-0.05426410213112831
15.401,0.05623256415128708,-0.056615594774484634
15.489,0.058580610901117325,-0.05896707996726036
15.602,0.06092861294746399,-0.06131855770945549
15.702,0.06327668577432632,-0.06366998702287674
15.802,0.06562468409538269,-0.06602150946855545
15.903,0.06797271221876144,-0.06837295740842819
16.001,0.07032077759504318,-0.07072442024946213
16.101,0.07266878336668015,-0.07307592779397964
16.203,0.07501684129238129,-0.07542737573385239
16.302,0.07736484706401825,-0.0777788832783699
16.402,0.0797128826379776,-0.08013031631708145
16.503,0.08206092566251755,-0.08248180150985718
16.6,0.08440892398357391,-0.0848332941532135
16.701,0.08675692975521088,-0.08718477934598923
16.8,0.08910498768091202,-0.08953625708818436
16.902,0.09145298600196838,-0.09188773483037949
17.002,0.09380105137825012,-0.09423919022083282
17.102,0.09614907950162888,-0.09659066051244736
17.202,0.09849709272384644,-0.09894214570522308
17.298,0.10084512829780579,-0.10129360109567642
17.402,0.10319315642118454,-0.10364507883787155
17.501,0.10554119944572449,-0.10599653422832489
17.6,0.10788922011852264,-0.10834799706935883
17.701999999999998,0.1102372258901596,-0.11069950461387634
17.802,0.11258529871702194,-0.1130509302020073
17.902,0.1149333044886589,-0.115402452647686
18.002,0.11728135496377945,-0.11775390058755875
18.102,0.11962935328483582,-0.12010541558265686
18.199,0.12197740375995636,-0.12245684117078781
18.302,0.12432539463043213,-0.12480836361646652
18.402,0.12667346000671387,-0.12715981900691986
18.501,0.12902146577835083,-0.12951132655143738
18.6,0.13136950135231018,-0.13186275959014893
18.701,0.13371753692626953,-0.13421426713466644
18.802,0.1360655426979065,-0.13656575977802277
18.902,0.13841356337070465,-0.1389172524213791
19.004,0.1407615691423416,-0.1412687450647354
19.102,0.1432771533727646,-0.14345397055149078
19.199,0.21739640831947327,-0.0695100724697113
19.301,0.22047317028045654,-0.0709860697388649
19.402,0.2948968708515167,0.0032937522046267986
19.502,0.3697099983692169,0.07810766249895096
19.605,0.372784823179245,0.07662755250930786
19.701999999999998,0.44721928238868713,0.1509171575307846
19.802,0.522032618522644,0.22572913765907288
19.904,0.5251071453094482,0.22424986958503723
20.003,0.5995413064956665,0.298542320728302
20.102,0.6745375394821167,0.373537540435791
20.202,0.7495337724685669,0.4485330581665039
20.303,0.8245298266410828,0.5235286355018616
20.401,0.8993420004844666,0.5983409881591797
20.503,0.8978549242019653,0.601422131061554
20.603,0.9721460342407227,0.6758590340614319
20.701,1.047141671180725,0.7508549690246582
20.806,1.121952772140503,0.8256683349609375
20.9,1.1204636096954346,0.8287505507469177
21.002,1.1947559118270874,0.9031869769096375
21.103,1.2697516679763794,0.9781826734542847
21.202,1.3445631265640259,1.052996277809143
21.301,1.347637414932251,1.0515177249908447
21.402,1.4220709800720215,1.125809907913208
21.502,1.4970672130584717,1.2008050680160522
21.603,1.5720634460449219,1.2758005857467651
